"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6352022584.91398","5608836038.83693","3264342420.59813","2977080326.97653","3137842747.37158","3354353847.35403","3551100143.05546","3669035009.04982","3936874564.25953","4066791424.903","4306732119.09919","4720178402.50153","5343241951.53429","6091295824.83192","6730881886.36741","7666474468.51279","8678449098.31555","9867396624.91901","10548246992.0808","9060944166.1236","9260284937.79781","9695518329.75153","10393595649.5872","10736584306.0236","11123101341.1038","11479040583.9041","11501998665.0519","12364648565.1196","13007610290.463","13996188672.3481","12932478333.2497",
"American Samoa","ASM","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","620964125.560538","626959641.255605","629529147.982063","626959641.255605","601264573.991031","612399103.139013","596125560.538117","571286995.515695","573000000","573000000","548161434.977578","534457399.103139","543878923.766816","561008968.609865","551587443.946188","513044843.049327","530174887.892377","522466367.713004","",
"Antigua and Barbuda","ATG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","323050296.77667","337211619.784609","364457459.908829","394202403.283718","409240894.491539","408897081.951469","430830387.966","474624277.923985","510903578.091765","569625959.491972","607371476.614152","639035409.206963","672599304.048187","692856076.064447","707936633.163291","716137903.429466","753949116.116975","804288090.307591","769224448.204454","820027567.04884","864896264.962877","905815589.17117","939399770.190413","997674789.130764","952300505.076013","962084840.143441","1020546345.77504","1079401545.5326","1149280180.81721","1295332413.25319","1415997590.78741","1415794527.50139","1246427314.51083","1148700000","1126201416.73822","1164186683.67089","1157191360.67478","1201115192.6865","1247061369.26107","1315622165.26087","1356993201.67685","1451309881.81221","1499945610.88944","1260351654.12395",
"Australia","AUS","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","199140913998.197","204091098084.214","206736296993.324","219584193744.787","234907925364.002","248963655147.257","254895110718.513","270960181431.042","284767807750.202","304827789929.508","326690607759.588","339770265830.805","353063857427.948","362291969207.749","377158120785.399","382249441572.548","392140895847.669","406247880538.178","409891435901.61","426465341562.957","439405348582.527","454071680304.364","469185192521.366","458767075503.601","479784558776.375","504970031680.999","525358342396.622","538761129230.956","569704236717.02","591701505825.547","612831155634.484","610393204828.616","612909152232.478","637608817755.311","663010452660.089","688455171399.949","715157492429.37","743524483707.404","777553285175.057","817003221615.663","849137077164.435","865532704887.51","900166165695.802","927044536189.266","964640382071.844","995550062444.482","1023371077536.56","1062711818739.97","1101585323180.17","1122922963917.09","1146138465603.81","1174365063005.45","1220378598873.43","1251924137225.91","1283636811145.51","1311782440650.19","1348127369665.9","1379142531152.01","1419817385593.49","1450499018770.09","1446367427550.64",
"Austria","AUT","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","91836704603.8273","96922602310.0595","99489767156.2721","103606919937.48","109952174211.113","113778702199.799","120199076680.091","123814722359.088","129352104013.722","137470070238.14","146159749454.684","153635774723.2","163173270197.048","171153153430.917","177900247052.109","177253160816.312","185368600063.124","194785288974.181","194374966565.323","204787050205.441","208332908481.196","208032295155.554","212216354485.081","218525733518.642","218637782070.525","224100837318.498","229258278776.519","232369698920.504","240028325117.268","249358405698.537","260194627809.652","269149558393.816","274784270655.585","276231859483.736","282867277668.304","290414130050.787","297237508346.442","303460471006.619","314328682652.371","325507251810.694","336495472200.435","340759435782.358","346387261608.152","349648396949.29","359211700961.583","367272646184.907","379958397036.836","394121024465.176","399876861217.528","384823184161.595","391892746544.69","403346977095.66","406091533760.531","406195106237.474","408881164188.391","413029270083.549","421246227873.787","431354400137.306","442483864448.169","448761534683.333","419186307716.412",
"Azerbaijan","AZE","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22675822432.8792","22517091634.4143","17428228914.7618","13402308155.786","10762053352.2756","9492131085.55562","9615528738.88643","10173229406.9274","11190552466.176","12018653302.4362","13352723759.3335","14674643428.8958","16059770745.6927","17699200324.5036","19337049158.8731","24743985520.7606","33272299375.2932","41744496802.1552","46165839004.8155","50491150982.6593","52909294791.9262","52077032843.517","53224258121.8798","56334372810.3796","57910375018.4784","58518171256.2056","56725409466.5767","56812548003.9101","57664964443.9475","59095142977.325","56548148736.7766",
"Burundi","BDI","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","597069945.375169","514995904.312721","561670796.477286","584898172.269517","621589056.310266","646248896.532849","676060312.219937","769502114.034375","767209892.871401","756012148.830193","917236810.389835","942431734.448863","882078736.75236","942845588.298869","935992613.553443","942525095.412494","1017386668.35452","1134075354.56013","1123408514.07606","1142112759.74287","1153431733.63576","1293726813.91255","1280096110.52724","1327655866.83792","1329720955.9434","1486404372.11528","1534715196.54908","1619172048.96568","1700632989.31368","1723583069.42723","1783905411.29297","1873044247.08272","1891961963.4663","1773903536.91969","1705963031.52311","1570850759.36254","1445182698.64588","1422204293.78282","1489758997.66776","1474712431.84348","1462076151.0499","1492133616.49271","1558481627.40674","1539410051.97705","1613819865.53726","1628344244.34165","1716499661.38563","1775752414.17954","1862084400.0601","1933080965.97884","2032135191.46216","2114083125.9203","2208090234.10359","2316820908.77628","2415069212.72545","2320881438.90163","2306955686.07925","2318490695.17705","2355816843.8898","2399222219.78424","2406361756.14988",
"Belgium","BEL","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","119193551296.988","125127510544.594","131649160785.222","137377984972.903","146934938280.622","152166791618.704","156969015759.264","163040807949.937","169878950776.919","181141585107.776","191254463098.304","198877535338.496","209409303532.325","222773181155.034","232943351569.071","228363821395.694","241272648022.494","242783388419.512","249683041015.307","255528303163.156","266884118625.161","266138755906.568","267722246299.38","268557118587.662","275180765182.863","279726181521.835","284824923589.979","291394864935.862","305158053073.334","315744495498.605","325650670611.677","331620089288.472","336696048579.996","333457459153.632","344218036408.14","352426801089.122","357083948331.14","370630490780.731","377901550407.363","391289632883.379","405832614001.301","410295226077.625","417298492042.621","421629977567.385","436687245639.171","446825975230.479","458230537757.548","475079129959.516","477202395106.604","467559360817.249","480951629493.033","489101421700.4","492716943941.295","494979708039.479","502793126783.126","513057442367.476","519556271260.416","527981121417.251","537421001894.33","547012324304.196","512638453020.098",
"Benin","BEN","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1731160202.43817","1785540799.58646","1724360854.23798","1805923605.04135","1926031233.87918","2027992685.54776","2100510920.21433","2123162801.95242","2204741842.89802","2268183244.8048","2315764230.69966","2281100903.05167","2427692831.1424","2517667140.89189","2601739905.89358","2474375749.92342","2496258048.57027","2620663155.41673","2653554522.97384","2826984143.94971","3018703533.28032","3319192261.21834","3393378410.35965","3245840332.36765","3503230263.23623","3767034881.82985","3848822543.15525","3791090091.48904","3920186008.45305","3808297608.01965","4150135518.16878","4325511920.79755","4453448055.21098","4713358947.42979","4808587672.70144","5099276349.79564","5319783542.70262","5624856551.11249","5847657801.8655","6160007482.80254","6520843116.17838","6868608528.7421","7187520143.12221","7435027917.53509","7764376200.77264","7897392742.42979","8208845286.42512","8700255440.55468","9126270154.73214","9337935021.02646","9535345011.48797","9817949077.60667","10290312532.7509","11030333538.2736","11731606748.0673","11940212437.8486","12338976539.6788","13038788438.4888","13912029930.7696","14867186407.8376","15439393548.4411",
"Burkina Faso","BFA","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1297842687.88231","1350326511.42897","1433085306.20672","1414913549.89026","1447213468.39851","1501694476.17022","1509767782.14237","1642979348.95359","1693431530.60345","1727741825.78148","1729763622.54336","1754211061.68394","1794759628.29359","1802823975.15692","1952213658.46434","2010748498.78427","2182363771.25681","2190446233.13232","2291378162.38918","2375348499.44551","2394277149.78228","2496160906.6106","2734848720.52134","2744310879.74803","2695497913.06148","2925083308.75901","3157784296.06797","3150321289.91306","3332901088.95992","3404567370.40945","3384040264.11213","3690972190.17308","3699561479.67635","3827617543.55986","3877950992.60595","4099629169.55545","4551192822.18367","4838684151.22481","5192281623.01799","5576263196.34399","5681569470.7925","6057314712.6026","6320987431.10425","6814182089.12188","7119351972.49106","7736021215.0327","8219767361.92083","8557713152.53562","9054059808.60577","9322236610.85099","10109618964.2848","10779134810.137","11474677064.7832","12139357469.4618","12664608725.7613","13161217009.7372","13945359253.6061","14810458138.26","15807384970.1785","16708316591.3587","17046223028.9561",
