UN Code	Name	1990	1995	2000	2005	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
112	Belarus	34910570000	28608133339	30174996780	33314327431	38425519536	44062926282	52759081771	65905539438	80131550702	94357561966	108583573230	122809584494	137035595758	165014787309	192993978861	220973170413	248952361965	276931553517	326868531210	376805508904	426742486597	476679464291	526616441984
191	Croatia	24782220219	20308263671	21420544417	23649083898	27277403009	31279269935	37452473076	46784844590	56883566667	66982288744	77081010821	87179732898	97278454975	117140247166	137002039356	156863831546	176725623737	196587415927	232036541457	267485666988	302934792519	338383918049	373833043580
203	Czech Republic	34879970000	28583057585	30148547630	33285126578	38391838593	44024304009	52712837098	65847771562	80061313366	94274855170	108488396974	122701938778	136915480582	164870147663	192824814744	220779481825	248734148906	276688815986	326582022653	376475229319	426368435985	476261642651	526154849317
233	Estonia	6760169000	5539749599	5843160905	6451068646	7440812510	8532453876	10216398903	12762111436	15516871394	18271631352	21026391310	23781151267	26535911225	31953870983	37371830740	42789790498	48207750255	53625710013	63295629712	72965549412	82635469111	92305388810	101975308510
268	Georgia	7737994752	6341047587	6688345871	7384184527	8517090054	9766632064	11694151595	14608089135	17761311798	20914534461	24067757124	27220979787	30374202450	36575843883	42777485317	48979126751	55180768185	61382409619	72451036437	83519663254	94588290072	105656916890	116725543708
348	Hungary	33055610000	27088050940	28571659681	31544183179	36383794015	41721659275	49955747814	62403673401	75873790909	89343908418	102814025927	116284143435	129754260944	156246788681	182739316419	209231844156	235724371893	262216899631	309500494806	356784089981	404067685156	451351280332	498634875507
398	Kazakhstan	40304350000	33028169376	34837117569	38461483522	44362368999	50870770740	60910506399	76088128279	92512097784	108936067289	125360036794	141784006299	158207975804	190510030140	222812084475	255114138811	287416193146	319718247481	377370626887	435023006292	492675385698	550327765103	607980144509
417	Kyrgyzstan	2965517312	2430149799	2563248762	2829922706	3264098621	3742974426	4481679055	5598419566	6806863963	8015308359	9223752755	10432197151	11640641547	14017365185	16394088823	18770812460	21147536098	23524259735	27766212011	32008164287	36250116563	40492068838	44734021114
428	Latvia	12490000000	10235169045	10795747815	11918910222	13747548063	15764450402	18875685253	23579110498	28668769037	33758427575	38848086114	43937744652	49027403191	59037554915	69047706639	79057858364	89068010088	99078161812	116944179222	134810196631	152676214041	170542231450	188408248859
440	Lithuania	13254200000	10861407330	11456285083	12648168123	14588691076	16728997479	20030593073	25021797147	30422866178	35823935210	41225004241	46626073272	52027142304	62649764640	73272386977	83895009313	94517631650	105140253987	124099402741	143058551496	162017700251	180976849006	199935997761
498	Republic of Moldova	10583330000	8672711898	9147715110	10099420345	11648906153	13357916803	15994203844	19979624300	24292317327	28605010353	32917703380	37230396406	41543089432	50025134192	58507178952	66989223712	75471268471	83953313231	99091980807	114230648384	129369315960	144507983537	159646651113
616	Poland	61196840000	50148919329	52895568590	58398690296	67358406664	77240556358	92484570882	115529788031	140467419675	165405051319	190342682963	215280314608	240217946252	289264355655	338310765059	387357174462	436403583865	485449993269	572987528004	660525062739	748062597474	835600132209	923137666944
642	Romania	38299110000	31384937160	33103885755	36547930637	42155232627	48339825462	57880059714	72302557780	87909394628	103516231476	119123068324	134729905171	150336742019	181031690138	211726638257	242421586376	273116534495	303811482614	358595515122	413379547630	468163580138	522947612646	577731645154
643	Russian Federation	579060000000	474521776401	500511267376	552583198788	637362304375	730869707732	875112434150	1093172115700	1329138302515	1565104489330	1801070676145	2037036862960	2273003049775	2737092598012	3201182146248	3665271694485	4129361242722	4593450790958	5421753116106	6250055441253	7078357766401	7906660091548	8734962416696
703	Slovakia	15484880000	12689380660	13384376255	14776853043	17043965737	19544485407	23401739076	29232962095	35543030287	41853098478	48163166669	54473234861	60783303052	73193711237	85604119423	98014527608	110424935793	122835343978	144985314808	167135285637	189285256467	211435227297	233585198126
705	Slovenia	17381802120	14243849720	15023983367	16587040749	19131878309	21938715565	26268488867	32814045864	39897107320	46980168775	54063230230	61146291685	68229353140	82160055819	96090758499	110021461178	123952163857	137882866536	162746243580	187609620625	212472997669	237336374713	262199751757
762	Tajikistan	4857142784	3980278420	4198277710	4635055947	5346181255	6130519336	7340424213	9169504116	11148783399	13128062682	15107341965	17086621248	19065900531	22958673646	26851446762	30744219878	34636992993	38529766109	45477548138	52425330166	59373112195	66320894224	73268676252
795	Turkmenistan	6333332992	5189970680	5474224644	6043749186	6971000777	7993716079	9571337082	11956313726	14537138573	17117963420	19698788267	22279613115	24860437962	29936308592	35012179222	40088049852	45163920482	50239791112	59299153602	68358516091	77417878581	86477241071	95536603560
804	Ukraine	91327320000	74839916624	78938888335	87151491421	100522555741	115270216690	138019675525	172411286612	209627049145	246842811678	284058574212	321274336745	358490099278	431684681325	504879263373	578073845420	651268427468	724463009516	855099958200	985736906885	1116373855570	1247010804255	1377647752940
807	The former Yugoslav Republic of Macedonia	4470754613	3663645254	3864302590	4266334896	4920889826	5642833415	6756489745	8440065415	10261892027	12083718640	13905545252	15727371865	17549198477	21132299518	24715400558	28298501599	31881602640	35464703681	41859786126	48254868572	54649951018	61045033464	67440115910
860	Uzbekistan	48694292793	39903468236	42088975581	46467806573	53597048086	61460269302	73589923489	91926990424	111769850560	131612710695	151455570831	171298430966	191141291101	230167492780	269193694459	308219896137	347246097816	386272299494	455925868972	525579438450	595233007928	664886577406	734540146884
891	Yugoslavia	28390000000	23264727717	24538933583	27091902417	31248429906	35832886061	42904780170	53595752365	65164639948	76733527531	88302415114	99871302697	111440190279	134193449483	156946708686	179699967890	202453227094	225206486297	265816272867	306426059436	347035846006	387645632575	428255419145
32	Argentina	141350000000	168799863960	201300232164	242483106570	294339606397	349153333639	415010260218	492149050733	605861740920	719574431106	833287121292	946999811479	1060712501665	1269179465379	1477646429093	1686113392808	1894580356522	2103047320236	2463241563253	2823435806269	3183630049286	3543824292303	3904018535319
44	Bahamas	3105500000	3708581376	4422623778	5327423328	6466725488	7670998780	9117894327	10812655657	13310956041	15809256426	18307556811	20805857195	23304157580	27884236503	32464315427	37044394350	41624473273	46204552197	54118122920	62031693643	69945264365	77858835088	85772405811
52	Barbados	1710436000	2042598968	2435876646	2934218853	3561719554	4225004820	5021920689	5955355173	7331359977	8707364780	10083369583	11459374387	12835379190	15357978409	17880577627	20403176846	22925776064	25448375283	29806982996	34165590709	38524198422	42882806135	47241413848
68	Bolivia	4867582000	5812855885	6932050843	8350239864	10135989883	12023576102	14291450106	16947830638	20863683796	24779536954	28695390113	32611243271	36527096429	43705943548	50884790666	58063637784	65242484902	72421332021	84825117049	97228902078	109632687107	122036472136	134440257164
76	Brazil	464980000000	555278109261	662190180061	797663918590	968249240767	1148562554479	1365203189220	1618956247682	1993021523118	2367086798554	2741152073990	3115217349426	3489282624862	4175048233548	4860813842235	5546579450921	6232345059608	6918110668294	8102993010833	9287875353372	10472757695911	11657640038450	12842522380988
84	Belize	402800000	481022888	573638016	690995368	838768967	994969670	1182639779	1402459410	1726502365	2050545319	2374588273	2698631228	3022674182	3616734975	4210795767	4804856559	5398917351	5992978144	7019410695	8045843246	9072275797	10098708348	11125140899
152	Chile	30323060000	36211732599	43183862879	52018604807	63143102548	74901998480	89029932941	105578105372	129972281016	154366456660	178760632304	203154807948	227548983592	272270287085	316991590578	361712894071	406434197564	451155501057	528426046813	605696592569	682967138325	760237684082	837508229838
170	Colombia	40274280000	48095457977	57355655566	69089724296	83864985660	99482837792	118247183749	140226025263	172625719102	205025412941	237425106780	269824800619	302224494457	361622137665	421019780872	480417424080	539815067287	599212710495	701841389643	804470068792	907098747940	1009727427089	1112356106237
188	Costa Rica	7187778000	8583628925	10236302654	12330489839	14967440731	17754769368	21103654886	25026233602	30808628882	36591024162	42373419442	48155814722	53938210002	64538947572	75139685142	85740422712	96341160282	106941897852	125258107655	143574317458	161890527261	180206737065	198522946868
192	Cuba	19644800000	23459777627	27976673511	33700262695	40907270603	48525273496	57678058436	68398794990	84202566169	100006337348	115810108528	131613879707	147417650886	176390355582	205363060278	234335764974	263308469670	292281174366	342340911650	392400648935	442460386220	492520123505	542579860790
214	Dominican Republic	7073675000	8447367370	10073805587	12134748418	14729838806	17472919755	20768643102	24628952504	30319554653	36010156802	41700758951	47391361100	53081963249	63514418499	73946873748	84379328998	94811784248	105244239497	123269687053	141295134609	159320582164	177346029720	195371477275
218	Ecuador	10686050000	12761257773	15218283310	18331705702	22252053420	26395967322	31374746312	37206433418	45803104751	54399776084	62996447418	71593118751	80189790084	95949877793	111709965501	127470053210	143230140918	158990228627	186220887916	213451547206	240682206496	267912865785	295143525075
222	El Salvador	4807246000	5740802765	6846124767	8246734660	10010349455	11874538143	14114300767	16737754196	20605068487	24472382778	28339697069	32207011360	36074325651	43164187536	50254049421	57343911306	64433773191	71523635076	83773669275	96023703473	108273737672	120523771870	132773806069
312	Guadeloupe	2791489856	3333591142	3975433718	4788745187	5812847722	6895351886	8195945748	9719342644	11965029387	14210716131	16456402874	18702089617	20947776360	25064744273	29181712187	33298680100	37415648013	41532615926	48646012287	55759408647	62872805008	69986201368	77099597729
320	Guatemala	7650126000	9135763906	10894744534	13123638614	15930209238	18896830532	22461130399	26636025815	32790368989	38944712164	45099055338	51253398513	57407741687	68690363118	79972984549	91255605980	102538227411	113820848842	133315234010	152809619178	172304004347	191798389515	211292774684
328	Guyana	396582300	473597724	564783226	680329028	825821564	979611122	1164384319	1380810771	1699851735	2018892698	2337933662	2656974626	2976015589	3560906342	4145797095	4730687848	5315578602	5900469355	6911057691	7921646027	8932234364	9942822700	10953411036
332	Haiti	2981320000	3560285889	4245775792	5114395014	6208139762	7364257635	8753295996	10380288701	12778689250	15177089798	17575490346	19973890895	22372291443	26769226203	31166160962	35563095722	39960030481	44356965241	51954095064	59551224888	67148354712	74745484536	82342614360
340	Honduras	3048896000	3640985002	4342012541	5230320295	6348856375	7531179358	8951702316	10615573203	13068337025	15521100847	17973864669	20426628491	22879392313	27375990062	31872587811	36369185560	40865783309	45362381058	53131710996	60901040934	68670370872	76439700810	84209030748
388	Jamaica	4238556000	5061674398	6036238464	7271158304	8826140111	10469798070	12444600131	14757702949	18167519753	21577336558	24987153362	28396970166	31806786970	38057928815	44309070661	50560212506	56811354352	63062496197	73863369702	84664243207	95465116712	106265990216	117066863721
474	Martinique	3548087275	4237118142	5052923892	6086672974	7388345327	8764248321	10417351420	12353645450	15207996699	18062347948	20916699197	23771050446	26625401695	31858220805	37091039915	42323859025	47556678135	52789497246	61830888191	70872279137	79913670083	88955061028	97996451974
484	Mexico	262710000000	313727713200	374132182468	450673766727	547053116353	648928703788	771328938535	914697397369	1126041301429	1337385205489	1548729109549	1760073013609	1971416917668	2358869029712	2746321141756	3133773253799	3521225365843	3908677477886	4578126572919	5247575667952	5917024762985	6586473858018	7255922953051
530	Netherlands Antilles	1817374302	2170304456	2588170278	3117669377	3784402099	4489156674	5335896582	6327690395	7789724502	9251758608	10713792714	12175826820	13637860927	16318175767	18998490606	21678805446	24359120286	27039435126	31670547689	36301660253	40932772817	45563885380	50194997944
558	Nicaragua	1009455000	1205488975	1437591269	1731699925	2102034576	2493488351	2963807444	3514696286	4326778661	5138861035	5950943410	6763025785	7575108160	9063880843	10552653527	12041426211	13530198895	15018971579	17591308894	20163646210	22735983526	25308320842	27880658158
591	Panama	5313200000	6345011936	7566667093	9114688658	11063920741	13124311937	15599805551	18499372737	22773714905	27048057074	31322399242	35596741410	39871083579	47707140682	55543197786	63379254890	71215311993	79051369097	92590697374	106130025652	119669353929	133208682206	146748010484
600	Paraguay	5264595000	6286967950	7497447441	9031307750	10962708314	13004251111	15457098980	18330141010	22565381620	26800622229	31035862839	35271103449	39506344059	47270717139	55035090218	62799463298	70563836378	78328209458	91743680352	105159151245	118574622139	131990093032	145405563926
